fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2004,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,3320,3744,92511781.13,3767
2007,42039.73265,Deobligation,Deobligation,$25 - <$100 million,1,4,-4249045,4
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,24,310,1091972679,344
2009,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,4083,4766,0,4784
2014,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,6,34,3883731.763,34
2000,42039.73265,Zero value,NULL,$250 thousand - <$1 million,5,5,0,NULL
2010,42039.73265,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,1,8,33591355,8
2007,42039.73265,Zero value,$250 thousand - <$1 million,$5 - <$25 million,4,5,0,5
1992,42039.73265,$1 - <$5 million,NULL,NULL,8393,49071,18225955809,8
2010,42039.73265,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,4,160,3885953497,160
2004,42039.73265,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,1,14,6029071,16
2011,42039.73265,Greater than $500 million,Zero value,Deobligation,1,46,1533419443,46
2010,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,2,6,867457,11
2010,42039.73265,Zero value,Less than $250 thousand,Zero value,139,233,0,235
2005,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,4,46,175928659,76
2005,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,1,2,1974177,2
2013,42039.73265,Deobligation,Deobligation,Zero value,35,69,-3783443.633,69
2001,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,1,11,789920414,11
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,80,439,165708192,440
2002,42039.73265,Greater than $500 million,Zero value,Greater than $500 million,1,8,515060102,8
2012,42039.73265,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,9,130,380160430.6,149
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,512,2366,1139781328,2472
2008,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,2,27,25534141.78,27
2004,42039.73265,$100 - <$500 million,$100 - <$500 million,Zero value,1,5,282739379,5
2004,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,1,8,29782488,9
1996,42039.73265,$1 - <$5 million,NULL,NULL,8547,54004,18572799935,54899
2008,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,978,2602,609697698.1,2786
2010,42039.73265,$25 - <$100 million,$1 - <$5 million,Zero value,1,60,64978807.34,114
1996,42039.73265,Greater than $500 million,NULL,NULL,14,258,17468327241,3328
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,11,201,489543071.3,234
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,Greater than $500 million,4,7,41539074,9
1990,42039.73265,Zero value,NULL,NULL,268,518,0,NULL
2009,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,49,63,0,65
2005,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,1,61,269843751,61
2006,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,1,2,160538880,2
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,37,178,106036482.2,197
2005,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,10,20,-3432159,20
2003,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,6,23,3911651.51,24
2011,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,64,596,597009088.4,650
2006,42039.73265,$25 - <$100 million,$5 - <$25 million,$25 - <$100 million,3,36,144671318.3,44
2004,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,8,51,90053777.5,54
2007,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,16,44,-4133874.42,44
2011,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,39,57,0,59
2012,42039.73265,Greater than $500 million,Deobligation,Deobligation,1,12,502300138.2,12
1997,42039.73265,$100 - <$500 million,NULL,NULL,111,3716,20491002268,3766
2003,42039.73265,Zero value,Zero value,Zero value,2283,4321,0,4353
2008,42039.73265,Zero value,NULL,Less than $250 thousand,8553,11985,0,NULL
2011,42039.73265,$5 - <$25 million,$1 - <$5 million,Zero value,14,163,125681383.2,233
2002,42039.73265,Zero value,NULL,Zero value,11378,11389,0,NULL
2006,42039.73265,Deobligation,Deobligation,Deobligation,543,685,-97193909.48,699
2014,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,36115,60183,17646266087,4690344
2013,42039.73265,Deobligation,$250 thousand - <$1 million,Zero value,1,3,-6941.9102,3
2010,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,64,295,186861940.6,387
2005,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,25,57,12883047.19,57
2005,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,68,76,36176928.51,76
2005,42039.73265,$25 - <$100 million,Zero value,$25 - <$100 million,12,13,546890795,15
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,200,1141,412657611.2,1145
2008,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,156,262,9201705.91,266
2004,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,9,9,0,9
2012,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,7,677,1345098874,677
2014,42039.73265,Zero value,$250 thousand - <$1 million,Less than $250 thousand,7,18,0,18
2014,42039.73265,$25 - <$100 million,$100 - <$500 million,$25 - <$100 million,2,157,178460986,157
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,57,439,534010171.1,468
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,79,729,727164462.5,741
2007,42039.73265,Deobligation,Deobligation,Less than $250 thousand,15,29,-8158274.36,29
2003,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,2,2,456511640.5,2
2005,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,1,8,780400,8
2012,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,1809,5751,903494367.4,5858
2005,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,2,128755,2
2012,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,40,87,25000518.59,87
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,Greater than $500 million,6,14,65285238.69,14
2000,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,31,50,14542032.41,50
2013,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,16,63,10975376.48,63
2001,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,302,351,9871775.32,354
2009,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,32,61,0,62
2013,42039.73265,$1 - <$5 million,Deobligation,Deobligation,147,916,325662743.5,1031
2012,42039.73265,$1 - <$5 million,Less than $250 thousand,Zero value,4,16,6912175.04,20
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,Zero value,3,26,172947544.2,33
2006,42039.73265,Zero value,$5 - <$25 million,$100 - <$500 million,1,1,0,1
2003,42039.73265,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,2,8,2687581,8
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,404,1515,1114183720,1615
2006,42039.73265,Deobligation,Deobligation,Less than $250 thousand,8,16,-305608.24,16
2003,42039.73265,$5 - <$25 million,Zero value,$5 - <$25 million,2,4,21349125,4
2001,42039.73265,Deobligation,Less than $250 thousand,$250 thousand - <$1 million,1,4,-212880,4
2014,42039.73265,Zero value,$1 - <$5 million,$1 - <$5 million,99,133,0,135
2007,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,13,408,12030662027,439
2008,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,11,22,951632.17,25
2009,42039.73265,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,21,142,213220699.9,146
2010,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,3203,3846,0,3883
2008,42039.73265,Zero value,Zero value,Less than $250 thousand,122,187,0,187
2009,42039.73265,$100 - <$500 million,Zero value,Zero value,76,3595,16129460431,3625
2005,42039.73265,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,2,2,4602183,2
2010,42039.73265,Less than $250 thousand,$5 - <$25 million,$100 - <$500 million,2,2,400000,2
2008,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,154,589,92988224.71,616
2008,42039.73265,Less than $250 thousand,Zero value,Deobligation,9,23,83952,23
2014,42039.73265,Greater than $500 million,$25 - <$100 million,$25 - <$100 million,4,508,3734865122,516
2003,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,5,5,0,5
2008,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,6,37,21537845.71,63
2014,42039.73265,Less than $250 thousand,$1 - <$5 million,Zero value,12,33,1378914.276,33
2007,42039.73265,Zero value,NULL,Less than $250 thousand,5363,8283,0,NULL
2013,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,1,8,291503.0605,8
2013,42039.73265,Greater than $500 million,Deobligation,Deobligation,2,28,2273622008,28
2006,42039.73265,Less than $250 thousand,Deobligation,Zero value,3,10,385413,10
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,30,219,299612346.3,238
2008,42039.73265,Zero value,Zero value,$1 - <$5 million,11,26,0,26
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,12661,17002,500348124.6,17037
2011,42039.73265,$100 - <$500 million,$250 thousand - <$1 million,$100 - <$500 million,1,15,295654089,15
2000,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,1,1,35700000,1
2003,42039.73265,Zero value,Less than $250 thousand,$5 - <$25 million,1,1,0,1
2008,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,802,1778,384230685.8,1784
2005,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,15,15,1517308.29,15
2005,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,1,6,5276394,6
2012,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$100 - <$500 million,1,1,400000,1
2014,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,22,161,68829793.46,165
1992,42039.73265,$250 thousand - <$1 million,NULL,NULL,17817,46115,8789445469,3
2011,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,7,363,1085677367,397
2006,42039.73265,$5 - <$25 million,Zero value,$25 - <$100 million,2,9,35245090,9
2005,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,55,77,4965888.74,77
2011,42039.73265,Zero value,$100 - <$500 million,Greater than $500 million,1,1,0,2
2005,42039.73265,$5 - <$25 million,Zero value,Zero value,4723,22491,48026950031,44181
2010,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Greater than $500 million,2,8,981720.32,8
2008,42039.73265,$5 - <$25 million,Deobligation,Zero value,2,18,21234393.81,18
2009,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,39,758,44305275055,2652
2014,42039.73265,$100 - <$500 million,$100 - <$500 million,Less than $250 thousand,1,16,100609515.8,16
2002,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,1,1,0,1
1995,42039.73265,Zero value,NULL,NULL,261,527,0,533
2009,42039.73265,$1 - <$5 million,Deobligation,Deobligation,137,766,300169156.9,773
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,2,2,306167,2
2011,42039.73265,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,3,33,134129556,34
2003,42039.73265,$100 - <$500 million,Zero value,Zero value,155,3178,30998164308,3898
2007,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,7,71,82520597.76,71
2007,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,100,198,62851651.91,205
1998,42039.73265,$25 - <$100 million,NULL,NULL,542,21651,24780510274,21909
2005,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,8197,9390,271059749,9822
2001,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,2,2,154010.24,2
2006,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,14,22,0,24
2006,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,1,11,37540594,11
2005,42039.73265,Less than $250 thousand,Zero value,$25 - <$100 million,1,1,50000,1
2012,42039.73265,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,1,7,745210,7
2001,42039.73265,Deobligation,Deobligation,Deobligation,9,11,-114517.73,11
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,37,527,2066354877,572
2007,42039.73265,$1 - <$5 million,Deobligation,Deobligation,58,279,125355776.5,282
1987,42039.73265,Deobligation,NULL,NULL,2,2,-171000,NULL
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,23,440,1065718232,557
2010,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,9,128,3038959812,163
2013,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,11,70,37243262.02,79
2008,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,177,653,87877667.6,655
2012,42039.73265,Zero value,$5 - <$25 million,Zero value,2,3,0,3
2012,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,2,12,153742134,13
2008,42039.73265,Deobligation,Less than $250 thousand,$1 - <$5 million,3,9,-3845955.53,9
2012,42039.73265,Greater than $500 million,$25 - <$100 million,$25 - <$100 million,1,60,910460726.1,61
2013,42039.73265,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,3,26,165238752,48
2010,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,659,2469,335276425.7,2514
2004,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,8,64,500071506,71
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,799021,934640,22264465663,1488627
2006,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,53,69,3458844.46,72
2005,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,3,8,25358480.08,10
2008,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,3941,6482,200211017.6,6505
2004,42039.73265,Zero value,$1 - <$5 million,Less than $250 thousand,1,4,0,4
2014,42039.73265,$25 - <$100 million,$5 - <$25 million,Less than $250 thousand,2,22,56943552.46,22
2006,42039.73265,$1 - <$5 million,Less than $250 thousand,Deobligation,1,14,1697396,15
2002,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,6,10,84320.75,10
2004,42039.73265,Less than $250 thousand,NULL,Less than $250 thousand,1,5,167142.55,NULL
2005,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,1,3,3114713,3
2013,42039.73265,$25 - <$100 million,$5 - <$25 million,$25 - <$100 million,1,7,49686864,7
2009,42039.73265,Zero value,NULL,$5 - <$25 million,2156,3972,0,NULL
2009,42039.73265,Zero value,Zero value,Deobligation,65,135,0,137
2000,42039.73265,$1 - <$5 million,Zero value,$25 - <$100 million,1,1,1539575,1
2009,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,37,109,131886640.5,127
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,179,868,2064688141,1042
2010,42039.73265,$250 thousand - <$1 million,Deobligation,Less than $250 thousand,2,13,920131.44,13
2006,42039.73265,Deobligation,Deobligation,$250 thousand - <$1 million,1,2,-217980.85,2
2005,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,1,4,318000,4
2013,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,3,46,498091702.7,55
2014,42039.73265,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,211,1094,2528295134,1299
2006,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,25,96,13120094.48,96
2009,42039.73265,Deobligation,Zero value,Zero value,16259,19747,-2251183181,19842
2004,42039.73265,$250 thousand - <$1 million,Zero value,$5 - <$25 million,2,2,850000,2
2008,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,3,24,12981825.93,24
2010,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,Deobligation,1,9,31204491.54,9
2005,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,2,5,853399,5
2003,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,2,2,848824,2
2014,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,283,1227,870910185.5,1307
2011,42039.73265,$5 - <$25 million,Deobligation,Deobligation,61,522,636087100.5,534
1988,42039.73265,$250 thousand - <$1 million,NULL,NULL,9,13,4473000,NULL
2012,42039.73265,$5 - <$25 million,Deobligation,Deobligation,53,475,530331195.1,517
2013,42039.73265,$1 - <$5 million,Deobligation,$250 thousand - <$1 million,1,18,4083738.971,18
2011,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,147,1448,1439514889,1833
2007,42039.73265,Deobligation,Greater than $500 million,Greater than $500 million,1,4,-92872,4
2011,42039.73265,$5 - <$25 million,Deobligation,$5 - <$25 million,1,7,12271311.84,7
2007,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,2,6,3703396.6,6
2014,42039.73265,$100 - <$500 million,$5 - <$25 million,$5 - <$25 million,4,202,759590149.8,202
2000,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,5,20,308401476.9,22
2009,42039.73265,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,299,1403,591217482,1439
2012,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,21,131,14564295.65,131
2012,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,78,93,0,94
2005,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,2,19,19846748,19
2008,42039.73265,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,10,118,471934221.6,118
2013,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,1,1,251525.6406,1
2009,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,356,584,34529124.15,591
2009,42039.73265,Zero value,Deobligation,Deobligation,517,691,0,693
2009,42039.73265,$25 - <$100 million,$100 - <$500 million,$1 - <$5 million,1,17,61719245.45,17
2011,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,12,92,-56118701.56,111
2014,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,305,356,0,358
