fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
1997,04:31.0,Navy,Fuel,7946443,89
2000,04:31.0,Army,FRS&C,9166569929,29720
2014,04:31.0,Air Force,ICT,1614432853,7533
1995,04:31.0,Other DoD,PAMS,196521093,753
1991,04:31.0,Navy,Products,22079233678,3
1997,04:31.0,MilitaryHealth,ERS,1438722,4
1998,04:31.0,Army,R&D,4485085537,6503
1993,04:31.0,DLA,ERS,16191764,NULL
2009,04:31.0,Air Force,MED,281170229.1,3836
2000,04:31.0,Army,R&D,4227449335,7018
1996,04:31.0,Army,Fuel,3456452,63
2005,04:31.0,MDA,Products,171284841,64
2013,04:31.0,Air Force,R&D,9362732393,14869
1989,04:31.0,Other DoD,R&D,59954000,NULL
2002,04:31.0,DLA,FRS&C,199087340.4,1046
1991,04:31.0,Army,Fuel,18132000,NULL
1999,04:31.0,Navy,ICT,1209787451,5563
1989,04:31.0,Navy,NULL,NULL,NULL
2012,04:31.0,MDA,PAMS,450015433.2,1104
2001,04:31.0,Navy,ERS,5541467046,11689
1992,04:31.0,DLA,ICT,62541537,NULL
2000,04:31.0,DLA,FRS&C,159414538.9,636
1996,04:31.0,DLA,R&D,16676628,74
2006,04:31.0,DLA,Products,17714085044,511407
1993,04:31.0,Army,ERS,1112963990,NULL
2008,04:31.0,Air Force,ERS,6650888029,15632
2003,04:31.0,Other DoD,Fuel,101260,1
1994,04:31.0,DLA,ICT,6938448,49
2010,04:31.0,Navy,FRS&C,9348550235,34814
1996,04:31.0,MilitaryHealth,ICT,320605,4
2005,04:31.0,Other DoD,ICT,4170141140,13089
2009,04:31.0,Air Force,Fuel,23805422.79,204
2000,04:31.0,NULL,ICT,0,NULL
1995,04:31.0,Army,ERS,836802611,2710
1997,04:31.0,Other DoD,PAMS,340876685,1278
2001,04:31.0,Air Force,NULL,0,1
1992,04:31.0,DLA,MED,424769,NULL
1994,04:31.0,MilitaryHealth,ICT,2050402,11
2000,04:31.0,DLA,R&D,85725769,273
2014,04:31.0,Other DoD,Fuel,29723.9395,9
1991,04:31.0,Navy,PAMS,5042141006,1
2003,04:31.0,DLA,ICT,306527285.8,480
2002,04:31.0,Army,ERS,1556243743,8395
2006,04:31.0,Other DoD,PAMS,3002828523,6022
2013,04:31.0,Army,NULL,-251967.04,29
2009,04:31.0,MDA,ICT,319174.65,13
1994,04:31.0,Army,MED,55071959,397
2010,04:31.0,MDA,Products,799597146.2,392
2002,04:31.0,Navy,MED,201685343.2,1243
