TableName,AccountDSI,BudgetActivity,BudgetActivityTitle,BSA,BSAtitle,LineItem,LineItemTitle,CostType,CostTypeTitle,ProcurementCategory,Classified,FiscalYear,OriginType,PBtotal,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal,QuantPBtotal,QuantPBtype,QuantEnactedTotal,QuantEnactedType,QuantSpecialType,QuantActualTotal
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2016,Total,1627299,1627299,0,0,0,0,0,9,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,215819,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2016,Total,0,0,0,204464,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2016,Base,0,0,0,0,204464,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2017,Total,34928,34928,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2017,Base,0,0,34928,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0592,F-35 STOVL Series,A,Weapon System Cost,Aircraft,U,2017,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,5,Modification of Aircraft,1,Modification of Aircraft,0593,F-35 CV Series,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,20502,0,0,0,0,0,0
