"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2012-09-30,"Cost Plus Award Fee","Other","Air Force","08:22.5",72647862.26,54,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Other","Other Products","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.0741127371208865,0.0748098674286891,7.8612228392487
2012-09-30,"Order Dependent (IDV only)","Other","Air Force","08:22.5",0,NA,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Other","Other Products","1","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0,0,0
2012-09-30,"Combination (two or more)","PAMS","Air Force","08:22.5",100986536.4,506,"Air Force","Air Force","Air Force",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","2","Combination","Combination","Unlabeled","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.103022833599371,0.103991902378746,8.00426347717924
2012-09-30,"Fixed Price Level of Effort","PAMS","Air Force","08:22.5",46786105.06,220,"Air Force","Air Force","Air Force",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","B","Fixed Price (Other)","Fixed","Other","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.0477295022503523,0.0481784626300072,7.67011689171156
2012-09-30,"Cost Plus Incentive","Aircraft","Air Force","08:22.5",377172324.4,124,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.384777644626193,0.388396997631552,8.57653981820813
2012-09-30,"Firm Fixed Price","Electronics & Communications","Air Force","08:22.5",3057004557,13793,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,3.11864613853942,3.14798121408712,9.48529608611846
2012-09-30,"Cost Plus Award Fee","Engines & Power Plants","Air Force","08:22.5",3387269.21,15,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.00345557026330595,0.00348807456492637,6.52984971443951
2012-09-30,"Fixed Price with Economic Price Adjustment","Engines & Power Plants","Air Force","08:22.5",30486666,14,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.0311014005458812,0.0313939511893729,7.48410993282807
2012-09-30,"Labor Hours","Engines & Power Plants","Air Force","08:22.5",32110.87,3,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,3.27583550705978e-05,3.30664916074555e-05,4.50665207233949
2012-09-30,"Fixed Price Award Fee","Aircraft","Air Force","08:22.5",-498948.01,2,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","M","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",0,"Fixed Price",0,0.980234506,1,1.023166361,1.1704,0.9711,-0.000509008820793338,-0.000513796735660591,NA
